Дата операции;Категория;Описание;Сумма в валюте счёта
28.02.2026;Связь;MTS MOBILE PAY;-650,00
01.03.2026;Супермаркеты;VKUSVILL 2281;-482,41
01.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-911,50
01.03.2026;Кафе;COFFEE LIKE EKB;-381,32
01.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-811,49
02.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2311,00
02.03.2026;Супермаркеты;VKUSVILL 2281;-1406,36
02.03.2026;Кафе;COFFEE LIKE EKB;-356,71
03.03.2026;Развлечения;VK MUSIC SUBSCRIPTION;-199,00
04.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-521,17
04.03.2026;Кафе;COFFEE LIKE EKB;-244,97
04.03.2026;Кафе;SURF COFFEE EKATERINBURG;-463,28
04.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-198,36
04.03.2026;Транспорт;METRO EKB TURNIKET;-34,44
04.03.2026;Маркетплейсы;OZON.RU MOSCOW;-3634,74
05.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1126,18
05.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-3886,66
05.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-1417,82
05.03.2026;Одежда;SPORTMASTER EKB;-5462,37
06.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1341,46
06.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-342,54
06.03.2026;Переводы;PEREVOD SBP;-3257,25
07.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2082,79
07.03.2026;Кафе;COFFEE LIKE EKB;-353,44
07.03.2026;Маркетплейсы;WILDBERRIES 4715;-1453,36
08.03.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
08.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1837,84
08.03.2026;Супермаркеты;VKUSVILL 2281;-1090,68
08.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-596,86
08.03.2026;Транспорт;METRO EKB TURNIKET;-59,78
08.03.2026;Здоровье;APTEKA APREL EKB;-1667,83
09.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1435,35
09.03.2026;Рестораны;DODO PIZZA 1130;-623,32
09.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-194,73
09.03.2026;Маркетплейсы;OZON.RU MOSCOW;-3902,40
10.03.2026;Кафе;SURF COFFEE EKATERINBURG;-471,28
10.03.2026;Транспорт;METRO EKB TURNIKET;-45,74
11.03.2026;Развлечения;YANDEX*KINOPOISK MOSCOW RUS;-399,00
11.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-596,37
11.03.2026;Супермаркеты;VKUSVILL 2281;-1171,47
11.03.2026;Кафе;COFFEE LIKE EKB;-263,14
12.03.2026;Кафе;COFFEE LIKE EKB;-351,83
12.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-3303,15
12.03.2026;Маркетплейсы;WILDBERRIES 4715;-535,45
13.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1468,24
13.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-359,98
13.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-937,59
13.03.2026;Кафе;COFFEE LIKE EKB;-209,55
13.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-589,14
13.03.2026;Транспорт;METRO EKB TURNIKET;-65,37
13.03.2026;Маркетплейсы;OZON.RU MOSCOW;-3642,69
14.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2292,04
14.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-721,81
14.03.2026;Переводы;PEREVOD SBP;-8008,41
15.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2045,16
15.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1205,87
15.03.2026;Кафе;COFFEE LIKE EKB;-209,24
15.03.2026;Транспорт;METRO EKB TURNIKET;-49,35
16.03.2026;Образование;SKILLBOX MOSCOW RUS;-3000,00
16.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1520,89
17.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1785,51
17.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1257,78
17.03.2026;Супермаркеты;VKUSVILL 2281;-1129,58
17.03.2026;Кафе;COFFEE LIKE EKB;-240,75
17.03.2026;Маркетплейсы;WILDBERRIES 4715;-4992,41
18.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-493,98
18.03.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-425,16
18.03.2026;Переводы;PEREVOD SBP;-1822,43
20.03.2026;Развлечения;SPOTIFY P2A1B3C4;-399,00
20.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-921,93
20.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1583,50
20.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1607,10
20.03.2026;Кафе;COFFEE LIKE EKB;-333,37
20.03.2026;Кафе;SURF COFFEE EKATERINBURG;-410,81
20.03.2026;Маркетплейсы;OZON.RU MOSCOW;-576,43
21.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1805,81
21.03.2026;Рестораны;DODO PIZZA 1130;-542,97
21.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-3403,36
22.03.2026;Кафе;COFFEE LIKE EKB;-276,20
22.03.2026;Транспорт;METRO EKB TURNIKET;-52,48
22.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-3039,38
23.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-485,97
23.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-377,49
23.03.2026;Маркетплейсы;WILDBERRIES 4715;-1451,92
23.03.2026;Электроника;DNS SHOP EKATERINBURG;-12382,17
24.03.2026;Прочее;PADDLE.NET*OBSIDIAN;-850,00
24.03.2026;Супермаркеты;VKUSVILL 2281;-734,35
24.03.2026;Переводы;PEREVOD SBP;-1193,44
25.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-296,13
25.03.2026;Кафе;COFFEE LIKE EKB;-184,46
26.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-898,19
27.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-306,37
27.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1415,57
27.03.2026;Кафе;COFFEE LIKE EKB;-256,39
27.03.2026;Рестораны;DODO PIZZA 1130;-863,30
27.03.2026;Транспорт;METRO EKB TURNIKET;-61,70
27.03.2026;Маркетплейсы;OZON.RU MOSCOW;-5379,60
28.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-758,11
28.03.2026;Здоровье;APTEKA APREL EKB;-1442,20
29.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1642,22
29.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1367,86
29.03.2026;Кафе;COFFEE LIKE EKB;-302,39
29.03.2026;Переводы;PEREVOD SBP;-4266,46
30.03.2026;Маркетплейсы;WILDBERRIES 4715;-751,29
31.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-755,77
31.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-882,98
