Дата операции;Категория;Описание;Сумма в валюте счёта
01.03.2026;Связь;MTS MOBILE PAY;-650,00
01.03.2026;Супермаркеты;VKUSVILL 2281;-698,56
01.03.2026;Переводы;PEREVOD SBP;-5676,46
02.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-652,78
02.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-3997,86
02.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-742,77
02.03.2026;Транспорт;METRO EKB TURNIKET;-65,37
02.03.2026;Маркетплейсы;WILDBERRIES 4715;-4975,12
03.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-643,40
03.03.2026;Супермаркеты;VKUSVILL 2281;-1467,56
03.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-834,05
04.03.2026;Кафе;COFFEE LIKE EKB;-239,34
04.03.2026;Кафе;SURF COFFEE EKATERINBURG;-303,30
05.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-981,81
05.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-491,80
05.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2805,67
05.03.2026;Одежда;SPORTMASTER EKB;-5667,25
05.03.2026;Переводы;PEREVOD SBP;-6091,57
06.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-512,91
06.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1612,99
06.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-899,83
06.03.2026;Кафе;COFFEE LIKE EKB;-374,88
06.03.2026;Маркетплейсы;OZON.RU MOSCOW;-932,81
06.03.2026;Маркетплейсы;WILDBERRIES 4715;-1629,93
07.03.2026;Супермаркеты;VKUSVILL 2281;-1189,35
07.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-465,78
08.03.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
08.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-521,17
08.03.2026;Кафе;SURF COFFEE EKATERINBURG;-386,44
09.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1126,18
09.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-660,75
09.03.2026;Кафе;COFFEE LIKE EKB;-255,16
09.03.2026;Транспорт;METRO EKB TURNIKET;-40,88
09.03.2026;Здоровье;APTEKA APREL EKB;-1757,32
10.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1441,79
10.03.2026;Рестораны;DODO PIZZA 1130;-1638,93
10.03.2026;Переводы;PEREVOD SBP;-2822,80
11.03.2026;Развлечения;LITRES.RU MOSCOW RUS;-399,00
11.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1998,83
