Дата операции;Категория;Описание;Сумма в валюте счёта
01.03.2026;Кафе;COFFEE LIKE EKB;-187,36
01.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-297,81
02.03.2026;Супермаркеты;VKUSVILL 2281;-1332,11
03.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1998,83
03.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1765,38
03.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1267,27
03.03.2026;Транспорт;METRO EKB TURNIKET;-43,97
03.03.2026;Маркетплейсы;WILDBERRIES 4715;-1850,52
03.03.2026;Одежда;SPORTMASTER EKB;-6654,37
03.03.2026;Переводы;PEREVOD SBP;-746,10
04.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-773,33
04.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-584,14
05.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2344,08
05.03.2026;Кафе;COFFEE LIKE EKB;-212,44
06.03.2026;Прочее;GOOGLE*GOOGLE ONE MOUNTAIN VIEW;-199,00
06.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1107,35
06.03.2026;Кафе;SURF COFFEE EKATERINBURG;-347,44
06.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-3572,83
06.03.2026;Маркетплейсы;OZON.RU MOSCOW;-842,42
07.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1606,52
07.03.2026;Супермаркеты;VKUSVILL 2281;-1470,50
07.03.2026;Кафе;COFFEE LIKE EKB;-167,34
07.03.2026;Переводы;PEREVOD SBP;-2822,80
08.03.2026;Развлечения;NETFLIX.COM AMSTERDAM NLD;-999,00
08.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-863,65
08.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1018,39
08.03.2026;Кафе;COFFEE LIKE EKB;-260,05
09.03.2026;Прочее;YANDEX 360 MOSCOW RUS;-299,00
09.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2112,35
09.03.2026;Кафе;COFFEE LIKE EKB;-205,85
09.03.2026;Транспорт;METRO EKB TURNIKET;-58,17
10.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-415,31
10.03.2026;Рестораны;DODO PIZZA 1130;-606,86
10.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-384,91
10.03.2026;Маркетплейсы;WILDBERRIES 4715;-844,51
10.03.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-1412,71
11.03.2026;Развлечения;YANDEX*KINOPOISK MOSCOW RUS;-399,00
11.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-3834,95
11.03.2026;Кафе;COFFEE LIKE EKB;-263,44
11.03.2026;Транспорт;METRO EKB TURNIKET;-61,70
11.03.2026;Маркетплейсы;OZON.RU MOSCOW;-1009,18
12.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-794,03
12.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1248,99
12.03.2026;Кафе;SURF COFFEE EKATERINBURG;-450,06
13.03.2026;Прочее;MAIL.RU CLOUD MOSCOW RUS;-149,00
13.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2058,14
13.03.2026;Переводы;PEREVOD SBP;-3483,70
14.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-804,21
14.03.2026;Супермаркеты;VKUSVILL 2281;-290,74
14.03.2026;Переводы;PEREVOD SBP;-2041,95
15.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1237,43
15.03.2026;Супермаркеты;VKUSVILL 2281;-1173,34
15.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1542,35
15.03.2026;Кафе;COFFEE LIKE EKB;-337,79
15.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-676,81
16.03.2026;Кафе;SURF COFFEE EKATERINBURG;-290,24
17.03.2026;Развлечения;PREMIER.ONE MOSCOW RUS;-399,00
17.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-530,08
17.03.2026;Кафе;COFFEE LIKE EKB;-381,32
17.03.2026;Здоровье;APTEKA APREL EKB;-1756,39
17.03.2026;Маркетплейсы;WILDBERRIES 4715;-4849,65
18.03.2026;Супермаркеты;VKUSVILL 2281;-1254,77
18.03.2026;Транспорт;METRO EKB TURNIKET;-65,37
19.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1078,85
19.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1822,61
19.03.2026;Маркетплейсы;OZON.RU MOSCOW;-2236,61
20.03.2026;Развлечения;OKKO TV MOSCOW RUS;-799,00
20.03.2026;Кафе;COFFEE LIKE EKB;-151,59
20.03.2026;Рестораны;DODO PIZZA 1130;-1605,72
20.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-849,30
21.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1482,94
21.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1056,63
21.03.2026;Кафе;COFFEE LIKE EKB;-244,97
