Дата операции;Категория;Описание;Сумма в валюте счёта
01.03.2026;Прочее;SBERPRIME PODPISKA;-299,00
01.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-372,02
01.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2406,93
02.03.2026;Развлечения;YANDEX PLUS MOSCOW RUS;-449,00
02.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1686,97
02.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-841,71
02.03.2026;Кафе;COFFEE LIKE EKB;-350,79
02.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-835,98
02.03.2026;Маркетплейсы;WILDBERRIES 4715;-4984,70
02.03.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-2045,65
03.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1851,86
03.03.2026;Супермаркеты;VKUSVILL 2281;-460,36
03.03.2026;Кафе;COFFEE LIKE EKB;-278,16
03.03.2026;Одежда;SPORTMASTER EKB;-3931,08
04.03.2026;Кафе;SURF COFFEE EKATERINBURG;-321,29
04.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-739,36
05.03.2026;Спорт;WORLD CLASS EKB;-3200,00
05.03.2026;Кафе;COFFEE LIKE EKB;-322,17
05.03.2026;Транспорт;METRO EKB TURNIKET;-45,45
05.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2805,67
06.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1727,53
06.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1343,59
06.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-4194,88
06.03.2026;Супермаркеты;VKUSVILL 2281;-807,88
06.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-842,90
06.03.2026;Маркетплейсы;OZON.RU MOSCOW;-4975,43
06.03.2026;Маркетплейсы;WILDBERRIES 4715;-3876,89
06.03.2026;Переводы;PEREVOD SBP;-6980,48
07.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-844,40
08.03.2026;Развлечения;VK MUSIC SUBSCRIPTION;-199,00
08.03.2026;Кафе;COFFEE LIKE EKB;-356,77
08.03.2026;Рестораны;DODO PIZZA 1130;-622,23
08.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-481,85
09.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1197,60
09.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1486,48
09.03.2026;Кафе;COFFEE LIKE EKB;-224,14
10.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1640,39
10.03.2026;Кафе;SURF COFFEE EKATERINBURG;-410,58
10.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-824,97
10.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2333,48
10.03.2026;Здоровье;APTEKA APREL EKB;-1479,29
10.03.2026;Маркетплейсы;WILDBERRIES 4715;-6128,28
11.03.2026;Прочее;APPLE.COM/BILL ITUNES.COM;-149,00
11.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-381,98
11.03.2026;Супермаркеты;VKUSVILL 2281;-398,72
11.03.2026;Кафе;COFFEE LIKE EKB;-170,92
11.03.2026;Транспорт;METRO EKB TURNIKET;-63,78
12.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-927,86
13.03.2026;Кафе;COFFEE LIKE EKB;-236,32
13.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-766,91
13.03.2026;Маркетплейсы;OZON.RU MOSCOW;-4517,52
13.03.2026;Переводы;PEREVOD SBP;-8333,07
14.03.2026;Развлечения;YANDEX*KINOPOISK MOSCOW RUS;-399,00
14.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-375,19
14.03.2026;Супермаркеты;VKUSVILL 2281;-1431,86
16.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-243,44
16.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1595,54
16.03.2026;Кафе;COFFEE LIKE EKB;-295,84
16.03.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-1374,02
17.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1244,60
17.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-398,40
17.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-1838,28
18.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-733,58
18.03.2026;Кафе;SURF COFFEE EKATERINBURG;-515,64
18.03.2026;Переводы;PEREVOD SBP;-1717,64
19.03.2026;Развлечения;LITRES.RU;-399,00
19.03.2026;Супермаркеты;VKUSVILL 2281;-304,67
19.03.2026;Кафе;COFFEE LIKE EKB;-337,37
19.03.2026;Рестораны;DODO PIZZA 1130;-1238,68
19.03.2026;Транспорт;METRO EKB TURNIKET;-40,88
20.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-778,52
20.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1090,74
20.03.2026;Транспорт;METRO EKB TURNIKET;-45,64
20.03.2026;Здоровье;APTEKA APREL EKB;-802,27
20.03.2026;Маркетплейсы;OZON.RU MOSCOW;-4946,03
21.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1545,67
21.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-711,76
21.03.2026;Маркетплейсы;WILDBERRIES 4715;-3556,24
22.03.2026;Развлечения;OKKO.TV;-499,00
22.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1501,59
22.03.2026;Кафе;COFFEE LIKE EKB;-340,73
22.03.2026;Кафе;SURF COFFEE EKATERINBURG;-260,69
23.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1335,47
23.03.2026;Супермаркеты;VKUSVILL 2281;-717,83
23.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-268,29
24.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1996,10
24.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1767,81
25.03.2026;Кафе;COFFEE LIKE EKB;-296,51
25.03.2026;Переводы;PEREVOD SBP;-6087,43
26.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1772,13
26.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-303,61
26.03.2026;Супермаркеты;VKUSVILL 2281;-311,87
26.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-997,19
26.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-668,96
26.03.2026;Транспорт;METRO EKB TURNIKET;-43,50
26.03.2026;Маркетплейсы;OZON.RU MOSCOW;-1090,28
27.03.2026;Образование;DUOLINGO INC;-890,00
27.03.2026;Кафе;SURF COFFEE EKATERINBURG;-279,30
27.03.2026;Маркетплейсы;WILDBERRIES 4715;-5432,08
27.03.2026;Электроника;DNS SHOP EKATERINBURG;-5538,32
28.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-2311,00
28.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-579,36
28.03.2026;Кафе;COFFEE LIKE EKB;-262,26
28.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-535,34
29.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-530,59
29.03.2026;Транспорт;METRO EKB TURNIKET;-48,61
30.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-735,38
30.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2246,33
31.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1020,12
31.03.2026;Супермаркеты;VKUSVILL 2281;-712,17
31.03.2026;Кафе;COFFEE LIKE EKB;-394,31
31.03.2026;Кафе;SURF COFFEE EKATERINBURG;-278,92
31.03.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-745,91
01.04.2026;Прочее;SBERPRIME PODPISKA;-299,00
01.04.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-925,76
01.04.2026;Рестораны;DODO PIZZA 1130;-1164,75
01.04.2026;Маркетплейсы;WILDBERRIES 4715;-1207,87
02.04.2026;Развлечения;YANDEX PLUS MOSCOW RUS;-449,00
02.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-486,74
