Дата операции;Категория;Описание;Сумма в валюте счёта
01.03.2026;Развлечения;YANDEX PLUS MOSCOW RUS 694731;-449,00
01.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1584,46
01.03.2026;Кафе;SURF COFFEE EKATERINBURG;-550,06
01.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-719,86
02.03.2026;Прочее;SBERPRIME PODPISKA;-299,00
02.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1270,42
02.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-3466,57
02.03.2026;Переводы;PEREVOD SBP;-3593,13
04.03.2026;Спорт;WORLD CLASS EKB 598369;-3200,00
04.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-765,61
04.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1600,79
04.03.2026;Супермаркеты;VKUSVILL 2281;-1382,00
04.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-712,55
04.03.2026;Кафе;COFFEE LIKE EKB;-224,65
04.03.2026;Транспорт;METRO EKB TURNIKET;-64,92
04.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2695,48
05.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-679,76
06.03.2026;Кафе;COFFEE LIKE EKB;-309,19
06.03.2026;Кафе;SURF COFFEE EKATERINBURG;-415,28
06.03.2026;Маркетплейсы;WILDBERRIES 4715;-3860,52
07.03.2026;Рестораны;DODO PIZZA 1130;-1637,14
07.03.2026;Здоровье;APTEKA APREL EKB;-953,92
07.03.2026;Маркетплейсы;OZON.RU MOSCOW;-4739,14
08.03.2026;Развлечения;VK MUSIC SUBSCRIPTION 379946;-199,00
08.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1507,77
08.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1799,02
09.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1758,40
09.03.2026;Кафе;COFFEE LIKE EKB;-414,74
09.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-392,62
09.03.2026;Транспорт;METRO EKB TURNIKET;-59,09
09.03.2026;Переводы;PEREVOD SBP;-7082,95
10.03.2026;Кафе;COFFEE LIKE EKB;-374,81
10.03.2026;Маркетплейсы;WILDBERRIES 4715;-1717,98
10.03.2026;Одежда;SPORTMASTER EKB;-6413,01
11.03.2026;Супермаркеты;VKUSVILL 2281;-984,26
11.03.2026;Рестораны;DODO PIZZA 1130;-1419,56
11.03.2026;Маркетплейсы;OZON.RU MOSCOW;-4002,51
12.03.2026;Прочее;APPLE.COM/BILL ITUNES.COM;-149,00
12.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1303,16
12.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-586,41
12.03.2026;Кафе;COFFEE LIKE EKB;-231,61
12.03.2026;Транспорт;METRO EKB TURNIKET;-33,46
12.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-1434,72
13.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-468,38
13.03.2026;Кафе;SURF COFFEE EKATERINBURG;-393,81
13.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-200,55
13.03.2026;Питомцы;ZOOMAGAZIN CHETYRE LAPY;-1175,86
13.03.2026;Переводы;PEREVOD SBP;-6270,63
14.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-1614,36
15.03.2026;Развлечения;yandex*kinopoisk moscow rus 872246;-399,00
15.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-716,05
15.03.2026;Супермаркеты;VKUSVILL 2281;-1209,34
15.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1297,63
15.03.2026;Кафе;COFFEE LIKE EKB;-341,16
15.03.2026;Транспорт;METRO EKB TURNIKET;-55,20
15.03.2026;Маркетплейсы;WILDBERRIES 4715;-6110,56
16.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-521,62
16.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-434,51
17.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1291,41
17.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-865,55
17.03.2026;Супермаркеты;VKUSVILL 2281;-731,67
18.03.2026;Кафе;COFFEE LIKE EKB;-164,72
19.03.2026;Транспорт;METRO EKB TURNIKET;-55,19
19.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-2326,11
20.03.2026;Развлечения;LITRES.RU;-399,00
20.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1836,48
20.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-495,18
20.03.2026;Рестораны;DODO PIZZA 1130;-1610,96
20.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-485,79
21.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-524,71
21.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1816,89
21.03.2026;Кафе;COFFEE LIKE EKB;-228,88
21.03.2026;Кафе;SURF COFFEE EKATERINBURG;-394,33
21.03.2026;Транспорт;METRO EKB TURNIKET;-64,03
21.03.2026;Маркетплейсы;OZON.RU MOSCOW;-2151,75
21.03.2026;Переводы;PEREVOD SBP;-3344,52
22.03.2026;Развлечения;OKKO.TV;-499,00
22.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-1157,45
22.03.2026;Маркетплейсы;WILDBERRIES 4715;-5885,61
23.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-837,21
24.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2427,66
24.03.2026;Супермаркеты;VKUSVILL 2281;-1194,31
24.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-664,08
24.03.2026;Транспорт;METRO EKB TURNIKET;-36,58
25.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-761,63
25.03.2026;Кафе;COFFEE LIKE EKB;-353,25
26.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-864,62
27.03.2026;Образование;DUOLINGO INC 349565;-890,00
27.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-715,63
27.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-824,85
27.03.2026;Кафе;COFFEE LIKE EKB;-177,70
27.03.2026;Здоровье;APTEKA APREL EKB;-1613,52
27.03.2026;Маркетплейсы;OZON.RU MOSCOW;-3285,37
27.03.2026;Переводы;PEREVOD SBP;-3302,37
28.03.2026;Супермаркеты;MAGNIT MM ROSSIYANKA EKB;-899,37
28.03.2026;Супермаркеты;PYATEROCHKA 12043 EKB;-1275,15
28.03.2026;Супермаркеты;LENTA-186 EKATERINBURG;-2735,01
28.03.2026;Автомобиль;GAZPROMNEFT AZS 152;-1650,03
28.03.2026;Маркетплейсы;WILDBERRIES 4715;-4862,26
29.03.2026;Рестораны;DODO PIZZA 1130;-680,13
29.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-307,84
29.03.2026;Транспорт;METRO EKB TURNIKET;-62,18
30.03.2026;Супермаркеты;VKUSVILL 2281;-1318,28
30.03.2026;Рестораны;YANDEX.EDA MOSCOW RUS;-1470,01
30.03.2026;Кафе;COFFEE LIKE EKB;-279,25
30.03.2026;Электроника;DNS SHOP EKATERINBURG;-10856,91
