pattern,canonical_name,category,typical_amount,period
YANDEX*KINOPOISK,Кинопоиск,видео,399,monthly
YANDEX KINOPOISK,Кинопоиск,видео,399,monthly
KINOPOISK,Кинопоиск,видео,399,monthly
KINOPOISK HD,Кинопоиск,видео,399,monthly
YANDEX*KP,Кинопоиск,видео,399,monthly
KP HD,Кинопоиск,видео,399,monthly
KINOPOISK PLUS,Кинопоиск,видео,399,monthly
YANDEX PLUS KINOPOISK,Кинопоиск,видео,399,monthly
KINOPOISK.RU,Кинопоиск,видео,399,monthly
YANDEX*KINOPOISK PLUS,Кинопоиск,видео,399,monthly
OKKO,Okko,видео,799,monthly
OKKO TV,Okko,видео,799,monthly
OKKO.RU,Okko,видео,799,monthly
OKKO*SUBSCRIPTION,Okko,видео,799,monthly
OKKO*PREMIUM,Okko,видео,799,monthly
OKKO ONLINE,Okko,видео,799,monthly
OKKO.TV,Okko,видео,799,monthly
OKKO FILMS,Okko,видео,799,monthly
OKKO*MONTHLY,Okko,видео,799,monthly
OKKO*SUB,Okko,видео,799,monthly
IVI.RU,Иви,видео,599,monthly
IVI,Иви,видео,599,monthly
IVI TV,Иви,видео,599,monthly
IVI*SUBSCRIPTION,Иви,видео,599,monthly
IVI*PREMIUM,Иви,видео,599,monthly
IVI ONLINE,Иви,видео,599,monthly
IVI.RU*SUB,Иви,видео,599,monthly
IVI FILM,Иви,видео,599,monthly
IVI*MONTHLY,Иви,видео,599,monthly
IVI*ONLINE,Иви,видео,599,monthly
WINK,Wink,видео,399,monthly
WINK.RU,Wink,видео,399,monthly
ROSTELECOM WINK,Wink,видео,399,monthly
WINK*SUBSCRIPTION,Wink,видео,399,monthly
WINK TV,Wink,видео,399,monthly
WINK ONLINE,Wink,видео,399,monthly
WINK*PREMIUM,Wink,видео,399,monthly
WINK.RU*MONTHLY,Wink,видео,399,monthly
WINK*TV,Wink,видео,399,monthly
WINK*SUB,Wink,видео,399,monthly
VK MUSIC,VK Музыка,музыка,199,monthly
VK*MUZYKA,VK Музыка,музыка,199,monthly
VK MUSIC SUB,VK Музыка,музыка,199,monthly
VK MUS,VK Музыка,музыка,199,monthly
VK.COM MUSIC,VK Музыка,музыка,199,monthly
VK*SUBSCRIPTION,VK Музыка,музыка,199,monthly
VK MUSIC MONTHLY,VK Музыка,музыка,199,monthly
VK MUSIC PREMIUM,VK Музыка,музыка,199,monthly
VK*MUZ,VK Музыка,музыка,199,monthly
VK MUSIC RU,VK Музыка,музыка,199,monthly
YANDEX*MUSIC,Яндекс Музыка,музыка,299,monthly
YANDEX MUSIC,Яндекс Музыка,музыка,299,monthly
YANDEX.MUSIC,Яндекс Музыка,музыка,299,monthly
YMUSIC,Яндекс Музыка,музыка,299,monthly
YANDEX MUSIC SUB,Яндекс Музыка,музыка,299,monthly
YANDEX*MUSIC PLUS,Яндекс Музыка,музыка,299,monthly
YANDEX PLUS MUSIC,Яндекс Музыка,музыка,299,monthly
MUSIC.YANDEX.RU,Яндекс Музыка,музыка,299,monthly
YANDEX MUSIC PREMIUM,Яндекс Музыка,музыка,299,monthly
YANDEX*MUSIC MONTHLY,Яндекс Музыка,музыка,299,monthly
SBER ZVUK,Звуки,музыка,199,monthly
ZVUK,Звуки,музыка,199,monthly
ZVUK.COM,Звуки,музыка,199,monthly
SBER*ZVUK,Звуки,музыка,199,monthly
ZVUK MUSIC,Звуки,музыка,199,monthly
ZVUK*SUB,Звуки,музыка,199,monthly
ZVUK PREMIUM,Звуки,музыка,199,monthly
ZVUK.COM*SUB,Звуки,музыка,199,monthly
ZVUK MONTHLY,Звуки,музыка,199,monthly
SBER ZVUK PREMIUM,Звуки,музыка,199,monthly
CLOUD MAIL.RU,Cloud Mail.ru,облако,149,monthly
MAIL.RU CLOUD,Cloud Mail.ru,облако,149,monthly
VK CLOUD MAIL,Cloud Mail.ru,облако,149,monthly
CLOUD MAIL,Cloud Mail.ru,облако,149,monthly
MAIL CLOUD,Cloud Mail.ru,облако,149,monthly
VK*MAIL CLOUD,Cloud Mail.ru,облако,149,monthly
CLOUD.MAIL.RU,Cloud Mail.ru,облако,149,monthly
